"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"310M100US10180","Abilene, TX Metro Area","*****","163092",
"310M100US10380","Aguadilla-Isabela-San Sebasti?n, PR Metro Area","*****","309197",
"310M100US10420","Akron, OH Metro Area","*****","703093",
"310M100US10500","Albany, GA Metro Area","*****","157528",
"310M100US10580","Albany-Schenectady-Troy, NY Metro Area","*****","865982",
"310M100US10740","Albuquerque, NM Metro Area","*****","862165",
"310M100US10780","Alexandria, LA Metro Area","*****","152475",
"310M100US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","*****","812027",
"310M100US11020","Altoona, PA Metro Area","*****","127071",
"310M100US11100","Amarillo, TX Metro Area","121","245177",
"310M100US11180","Ames, IA Metro Area","*****","87594",
"310M100US11260","Anchorage, AK Metro Area","*****","368414",
"310M100US11300","Anderson, IN Metro Area","*****","131444",
"310M100US11340","Anderson, SC Metro Area","*****","183691",
"310M100US11460","Ann Arbor, MI Metro Area","*****","343947",
"310M100US11500","Anniston-Oxford, AL Metro Area","*****","117149",
"310M100US11540","Appleton, WI Metro Area","*****","222359",
"310M100US11700","Asheville, NC Metro Area","*****","416276",
"310M100US12020","Athens-Clarke County, GA Metro Area","*****","188932",
"310M100US12060","Atlanta-Sandy Springs-Marietta, GA Metro Area","*****","5125113",
"310M100US12100","Atlantic City-Hammonton, NJ Metro Area","*****","273162",
"310M100US12220","Auburn-Opelika, AL Metro Area","*****","135010",
"310M100US12260","Augusta-Richmond County, GA-SC Metro Area","*****","544180",
"310M100US12420","Austin-Round Rock-San Marcos, TX Metro Area","*****","1627571",
"310M100US12540","Bakersfield-Delano, CA Metro Area","*****","815693",
"310M100US12580","Baltimore-Towson, MD Metro Area","*****","2683160",
"310M100US12620","Bangor, ME Metro Area","*****","152934",
"310M100US12700","Barnstable Town, MA Metro Area","*****","217483",
"310M100US12940","Baton Rouge, LA Metro Area","*****","787961",
"310M100US12980","Battle Creek, MI Metro Area","*****","137112",
"310M100US13020","Bay City, MI Metro Area","*****","108156",
"310M100US13140","Beaumont-Port Arthur, TX Metro Area","*****","384583",
"310M100US13380","Bellingham, WA Metro Area","*****","195993",
"310M100US13460","Bend, OR Metro Area","*****","154568",
"310M100US13740","Billings, MT Metro Area","*****","154044",
"310M100US13780","Binghamton, NY Metro Area","*****","252181",
"310M100US13820","Birmingham-Hoover, AL Metro Area","*****","1115485",
"310M100US13900","Bismarck, ND Metro Area","*****","105488",
"310M100US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","*****","161013",
"310M100US14020","Bloomington, IN Metro Area","*****","189263",
"310M100US14060","Bloomington-Normal, IL Metro Area","*****","166706",
"310M100US14260","Boise City-Nampa, ID Metro Area","*****","598730",
"310M100US14460","Boston-Cambridge-Quincy, MA-NH Metro Area","*****","4489250",
"310M100US14500","Boulder, CO Metro Area","*****","290177",
"310M100US14540","Bowling Green, KY Metro Area","*****","121861",
"310M100US14740","Bremerton-Silverdale, WA Metro Area","*****","247336",
"310M100US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","*****","905342",
"310M100US15180","Brownsville-Harlingen, TX Metro Area","*****","393566",
"310M100US15260","Brunswick, GA Metro Area","*****","109099",
"310M100US15380","Buffalo-Niagara Falls, NY Metro Area","*****","1137266",
"310M100US15500","Burlington, NC Metro Area","*****","147072",
