"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M400US10180","Abilene, TX Metro Area","170009","*****",
"310M400US10380","Aguadilla-Isabela, PR Metro Area","307555","*****",
"310M400US10420","Akron, OH Metro Area","704454","*****",
"310M400US10500","Albany, GA Metro Area","153101","*****",
"310M400US10540","Albany, OR Metro Area","122870","*****",
"310M400US10580","Albany-Schenectady-Troy, NY Metro Area","880481","*****",
"310M400US10740","Albuquerque, NM Metro Area","910012","*****",
"310M400US10780","Alexandria, LA Metro Area","153894","*****",
"310M400US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","834615","*****",
"310M400US11020","Altoona, PA Metro Area","123842","*****",
"310M400US11100","Amarillo, TX Metro Area","263412","125",
"310M400US11180","Ames, IA Metro Area","96922","*****",
"310M400US11260","Anchorage, AK Metro Area","399576","*****",
"310M400US11460","Ann Arbor, MI Metro Area","365961","*****",
"310M400US11500","Anniston-Oxford-Jacksonville, AL Metro Area","115098","*****",
"310M400US11540","Appleton, WI Metro Area","234561","*****",
"310M400US11640","Arecibo, PR Metro Area","183890","*****",
"310M400US11700","Asheville, NC Metro Area","449937","*****",
"310M400US12020","Athens-Clarke County, GA Metro Area","205303","*****",
"310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","5779463","*****",
"310M400US12100","Atlantic City-Hammonton, NJ Metro Area","268539","*****",
"310M400US12220","Auburn-Opelika, AL Metro Area","159287","*****",
"310M400US12260","Augusta-Richmond County, GA-SC Metro Area","594300","*****",
"310M400US12420","Austin-Round Rock, TX Metro Area","2058351","*****",
"310M400US12540","Bakersfield, CA Metro Area","883053","*****",
"310M400US12580","Baltimore-Columbia-Towson, MD Metro Area","2793250","*****",
"310M400US12620","Bangor, ME Metro Area","151748","*****",
"310M400US12700","Barnstable Town, MA Metro Area","213690","*****",
"310M400US12940","Baton Rouge, LA Metro Area","829642","*****",
"310M400US12980","Battle Creek, MI Metro Area","134473","*****",
"310M400US13020","Bay City, MI Metro Area","104786","*****",
"310M400US13140","Beaumont-Port Arthur, TX Metro Area","409693","*****",
"310M400US13220","Beckley, WV Metro Area","120358","*****",
"310M400US13380","Bellingham, WA Metro Area","216812","*****",
"310M400US13460","Bend-Redmond, OR Metro Area","180640","*****",
"310M400US13740","Billings, MT Metro Area","169086","100",
"310M400US13780","Binghamton, NY Metro Area","243447","*****",
"310M400US13820","Birmingham-Hoover, AL Metro Area","1147054","*****",
"310M400US13900","Bismarck, ND Metro Area","130531","92",
"310M400US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","182341","*****",
"310M400US14010","Bloomington, IL Metro Area","189261","*****",
"310M400US14020","Bloomington, IN Metro Area","166281","*****",
"310M400US14100","Bloomsburg-Berwick, PA Metro Area","84514","*****",
"310M400US14260","Boise City, ID Metro Area","693952","*****",
"310M400US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4811732","*****",
"310M400US14500","Boulder, CO Metro Area","321030","*****",
"310M400US14540","Bowling Green, KY Metro Area","172088","*****",
"310M400US14740","Bremerton-Silverdale, WA Metro Area","262475","*****",
"310M400US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","944348","*****",
"310M400US15180","Brownsville-Harlingen, TX Metro Area","421750","*****",
"310M400US15260","Brunswick, GA Metro Area","116655","*****",
"310M400US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","1131570","*****",
"310M400US15500","Burlington, NC Metro Area","160576","*****",
"310M400US15540","Burlington-South Burlington, VT Metro Area","218042","*****",
"310M400US15680","California-Lexington Park, MD Metro Area","111531","*****",
"310M400US15940","Canton-Massillon, OH Metro Area","401053","*****",
"310M400US15980","Cape Coral-Fort Myers, FL Metro Area","718679","*****",
"310M400US16020","Cape Girardeau, MO-IL Metro Area","97137","*****",
"310M400US16060","Carbondale-Marion, IL Metro Area","125850","*****",
"310M400US16180","Carson City, NV Metro Area","54467","*****",
"310M400US16220","Casper, WY Metro Area","80610","*****",
"310M400US16300","Cedar Rapids, IA Metro Area","268315","*****",
"310M400US16540","Chambersburg-Waynesboro, PA Metro Area","153751","*****",
"310M400US16580","Champaign-Urbana, IL Metro Area","239273","*****",
"310M400US16620","Charleston, WV Metro Area","217312","*****",
"310M400US16700","Charleston-North Charleston, SC Metro Area","759247","*****",
"310M400US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","2473125","*****",
"310M400US16820","Charlottesville, VA Metro Area","230905","*****",
"310M400US16860","Chattanooga, TN-GA Metro Area","552043","*****",
"310M400US16940","Cheyenne, WY Metro Area","97692","*****",
"310M400US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9536428","*****",
"310M400US17020","Chico, CA Metro Area","227075","*****",
"310M400US17140","Cincinnati, OH-KY-IN Metro Area","2168825","*****",
"310M400US17300","Clarksville, TN-KY Metro Area","282994","*****",
"310M400US17420","Cleveland, TN Metro Area","121339","*****",
"310M400US17460","Cleveland-Elyria, OH Metro Area","2061766","*****",
"310M400US17660","Coeur d'Alene, ID Metro Area","153605","*****",
"310M400US17780","College Station-Bryan, TX Metro Area","253946","*****",
"310M400US17820","Colorado Springs, CO Metro Area","712266","*****",
"310M400US17860","Columbia, MO Metro Area","176515","*****",
"310M400US17900","Columbia, SC Metro Area","816664","*****",
"310M400US17980","Columbus, GA-AL Metro Area","307724","*****",
"310M400US18020","Columbus, IN Metro Area","81893","*****",
"310M400US18140","Columbus, OH Metro Area","2054062","*****",
"310M400US18580","Corpus Christi, TX Metro Area","452295","*****",
"310M400US18700","Corvallis, OR Metro Area","89780","*****",
"310M400US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","266595","*****",
"310M400US19060","Cumberland, MD-WV Metro Area","99255","*****",
"310M400US19100","Dallas-Fort Worth-Arlington, TX Metro Area","7255028","*****",
"310M400US19140","Dalton, GA Metro Area","143406","*****",
"310M400US19180","Danville, IL Metro Area","78407","*****",
"310M400US19300","Daphne-Fairhope-Foley, AL Metro Area","208107","*****",
"310M400US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","382720","*****",
"310M400US19380","Dayton, OH Metro Area","802645","*****",
"310M400US19460","Decatur, AL Metro Area","152293","*****",
"310M400US19500","Decatur, IL Metro Area","106512","*****",
"310M400US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area","634773","*****",
"310M400US19740","Denver-Aurora-Lakewood, CO Metro Area","2850221","*****",
"310M400US19780","Des Moines-West Des Moines, IA Metro Area","634201","*****",
"310M400US19820","Detroit-Warren-Dearborn, MI Metro Area","4317179","*****",
"310M400US20020","Dothan, AL Metro Area","147967","*****",
"310M400US20100","Dover, DE Metro Area","174822","*****",
"310M400US20220","Dubuque, IA Metro Area","96802","*****",
"310M400US20260","Duluth, MN-WI Metro Area","279022","*****",
"310M400US20500","Durham-Chapel Hill, NC Metro Area","558491","*****",
"310M400US20700","East Stroudsburg, PA Metro Area","167586","*****",
"310M400US20740","Eau Claire, WI Metro Area","166626","*****",
"310M400US20940","El Centro, CA Metro Area","180216","*****",
"310M400US21060","Elizabethtown-Fort Knox, KY Metro Area","150577","*****",
"310M400US21140","Elkhart-Goshen, IN Metro Area","203604","*****",
"310M400US21300","Elmira, NY Metro Area","85740","*****",
"310M400US21340","El Paso, TX Metro Area","841752","*****",
"310M400US21420","Enid, OK Metro Area","62190","*****",
"310M400US21500","Erie, PA Metro Area","275972","*****",
"310M400US21660","Eugene, OR Metro Area","368882","*****",
"310M400US21780","Evansville, IN-KY Metro Area","314967","*****",
"310M400US21820","Fairbanks, AK Metro Area","99653","*****",
"310M400US22020","Fargo, ND-MN Metro Area","237003","*****",
"310M400US22140","Farmington, NM Metro Area","127455","*****",
"310M400US22180","Fayetteville, NC Metro Area","385345","*****",
"310M400US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area","526412","*****",
"310M400US22380","Flagstaff, AZ Metro Area","140217","*****",
"310M400US22420","Flint, MI Metro Area","409361","*****",
"310M400US22500","Florence, SC Metro Area","205814","*****",
"310M400US22520","Florence-Muscle Shoals, AL Metro Area","147080","*****",
"310M400US22540","Fond du Lac, WI Metro Area","102315","*****",
"310M400US22660","Fort Collins, CO Metro Area","338161","*****",
"310M400US22900","Fort Smith, AR-OK Metro Area","281201","*****",
"310M400US23060","Fort Wayne, IN Metro Area","431612","*****",
"310M400US23420","Fresno, CA Metro Area","978130","*****",
"310M400US23460","Gadsden, AL Metro Area","102939","*****",
"310M400US23540","Gainesville, FL Metro Area","280763","*****",
"310M400US23580","Gainesville, GA Metro Area","195961","*****",
"310M400US23900","Gettysburg, PA Metro Area","102023","*****",
"310M400US24020","Glens Falls, NY Metro Area","126308","*****",
"310M400US24140","Goldsboro, NC Metro Area","124002","*****",
"310M400US24220","Grand Forks, ND-MN Metro Area","101991","*****",
"310M400US24260","Grand Island, NE Metro Area","84729","*****",
"310M400US24300","Grand Junction, CO Metro Area","149998","*****",
"310M400US24340","Grand Rapids-Wyoming, MI Metro Area","1050440","*****",
"310M400US24420","Grants Pass, OR Metro Area","85481","*****",
"310M400US24500","Great Falls, MT Metro Area","81746","*****",
"310M400US24540","Greeley, CO Metro Area","295123","*****",
"310M400US24580","Green Bay, WI Metro Area","317702","*****",
"310M400US24660","Greensboro-High Point, NC Metro Area","757810","*****",
"310M400US24780","Greenville, NC Metro Area","177372","*****",
"310M400US24860","Greenville-Anderson-Mauldin, SC Metro Area","883853","*****",
"310M400US25020","Guayama, PR Metro Area","77151","*****",
"310M400US25060","Gulfport-Biloxi-Pascagoula, MS Metro Area","391293","*****",
"310M400US25180","Hagerstown-Martinsburg, MD-WV Metro Area","263306","*****",
"310M400US25220","Hammond, LA Metro Area","130504","*****",
"310M400US25260","Hanford-Corcoran, CA Metro Area","150075","*****",
"310M400US25420","Harrisburg-Carlisle, PA Metro Area","567872","*****",
"310M400US25500","Harrisonburg, VA Metro Area","132835","*****",
"310M400US25540","Hartford-West Hartford-East Hartford, CT Metro Area","1209367","*****",
"310M400US25620","Hattiesburg, MS Metro Area","148768","*****",
"310M400US25860","Hickory-Lenoir-Morganton, NC Metro Area","365339","*****",
"310M400US25940","Hilton Head Island-Bluffton-Beaufort, SC Metro Area","210558","*****",
"310M400US25980","Hinesville, GA Metro Area","80264","*****",
"310M400US26140","Homosassa Springs, FL Metro Area","143087","*****",
"310M400US26300","Hot Springs, AR Metro Area","98296","*****",
"310M400US26380","Houma-Thibodaux, LA Metro Area","210801","*****",
"310M400US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","6779104","*****",
"310M400US26580","Huntington-Ashland, WV-KY-OH Metro Area","358234","*****",
"310M400US26620","Huntsville, AL Metro Area","450612","*****",
"310M400US26820","Idaho Falls, ID Metro Area","142968","*****",
"310M400US26900","Indianapolis-Carmel-Anderson, IN Metro Area","2007497","*****",
"310M400US26980","Iowa City, IA Metro Area","169144","*****",
"310M400US27060","Ithaca, NY Metro Area","102962","*****",
"310M400US27100","Jackson, MI Metro Area","158913","*****",
"310M400US27140","Jackson, MS Metro Area","580280","*****",
"310M400US27180","Jackson, TN Metro Area","129331","*****",
"310M400US27260","Jacksonville, FL Metro Area","1475386","*****",
"310M400US27340","Jacksonville, NC Metro Area","193912","*****",
"310M400US27500","Janesville-Beloit, WI Metro Area","161769","*****",
"310M400US27620","Jefferson City, MO Metro Area","151157","*****",
"310M400US27740","Johnson City, TN Metro Area","201226","*****",
"310M400US27780","Johnstown, PA Metro Area","134550","*****",
"310M400US27860","Jonesboro, AR Metro Area","129755","*****",
"310M400US27900","Joplin, MO Metro Area","177440","*****",
"310M400US27980","Kahului-Wailuku-Lahaina, HI Metro Area","165356","*****",
"310M400US28020","Kalamazoo-Portage, MI Metro Area","336845","*****",
"310M400US28100","Kankakee, IL Metro Area","111061","*****",
"310M400US28140","Kansas City, MO-KS Metro Area","2106632","*****",
"310M400US28420","Kennewick-Richland, WA Metro Area","284828","*****",
"310M400US28660","Killeen-Temple, TX Metro Area","438265","*****",
"310M400US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","306394","*****",
"310M400US28740","Kingston, NY Metro Area","179303","*****",
"310M400US28940","Knoxville, TN Metro Area","868499","*****",
